project name,stars,github url,clone url
Konloch/bytecode-viewer,12886,https://github.com/Konloch/bytecode-viewer,https://github.com/Konloch/bytecode-viewer.git
eclipse-vertx/vert.x,12844,https://github.com/eclipse-vertx/vert.x,https://github.com/eclipse-vertx/vert.x.git
mockito/mockito,12778,https://github.com/mockito/mockito,https://github.com/mockito/mockito.git
arduino/Arduino,12736,https://github.com/arduino/Arduino,https://github.com/arduino/Arduino.git
openjdk/jdk,12702,https://github.com/openjdk/jdk,https://github.com/openjdk/jdk.git
baomidou/mybatis-plus,12689,https://github.com/baomidou/mybatis-plus,https://github.com/baomidou/mybatis-plus.git
greenrobot/greenDAO,12518,https://github.com/greenrobot/greenDAO,https://github.com/greenrobot/greenDAO.git
facebook/stetho,12477,https://github.com/facebook/stetho,https://github.com/facebook/stetho.git
eclipse/deeplearning4j,12428,https://github.com/eclipse/deeplearning4j,https://github.com/eclipse/deeplearning4j.git
williamfiset/Algorithms,12392,https://github.com/williamfiset/Algorithms,https://github.com/williamfiset/Algorithms.git
pinpoint-apm/pinpoint,12112,https://github.com/pinpoint-apm/pinpoint,https://github.com/pinpoint-apm/pinpoint.git
sqshq/piggymetrics,11480,https://github.com/sqshq/piggymetrics,https://github.com/sqshq/piggymetrics.git
LuckSiege/PictureSelector,11388,https://github.com/LuckSiege/PictureSelector.git,
Netflix/eureka,11195,https://github.com/Netflix/eureka,https://github.com/Netflix/eureka.git
androidannotations/androidannotations,11168,https://github.com/androidannotations/androidannotations,https://github.com/androidannotations/androidannotations.git
projectlombok/lombok,11064,https://github.com/projectlombok/lombok,https://github.com/projectlombok/lombok.git
pagehelper/Mybatis-PageHelper,11040,https://github.com/pagehelper/Mybatis-PageHelper,https://github.com/pagehelper/Mybatis-PageHelper.git
java-decompiler/jd-gui,11043,https://github.com/java-decompiler/jd-gui,https://github.com/java-decompiler/jd-gui.git
google/guice,10881,https://github.com/google/guice,https://github.com/google/guice.git
alibaba/vlayout,10833,https://github.com/alibaba/vlayout,https://github.com/alibaba/vlayout.git
apache/pulsar,10626,https://github.com/apache/pulsar,https://github.com/apache/pulsar.git
lingochamp/FileDownloader,10507,https://github.com/lingochamp/FileDownloader,https://github.com/lingochamp/FileDownloader.git
apache/zookeeper,10360,https://github.com/apache/zookeeper,https://github.com/apache/zookeeper.git
code4craft/webmagic,10322,https://github.com/code4craft/webmagic,https://github.com/code4craft/webmagic.git
gyf-dev/ImmersionBar,10232,https://github.com/gyf-dev/ImmersionBar,https://github.com/gyf-dev/ImmersionBar.git
JessYanCoding/MVPArms,10161,https://github.com/JessYanCoding/MVPArms,https://github.com/JessYanCoding/MVPArms.git
aosp-mirror/platform_frameworks_base,9937,https://github.com/aosp-mirror/platform_frameworks_base,https://github.com/aosp-mirror/platform_frameworks_base.git
neo4j/neo4j,9893,https://github.com/neo4j/neo4j,https://github.com/neo4j/neo4j.git
quarkusio/quarkus,9724,https://github.com/quarkusio/quarkus,https://github.com/quarkusio/quarkus.git
YoKeyword/Fragmentation,9724,https://github.com/YoKeyword/Fragmentation,https://github.com/YoKeyword/Fragmentation.git
google/auto,9689,https://github.com/google/auto,https://github.com/google/auto.git
liaohuqiu/android-Ultra-Pull-To-Refresh,9663,https://github.com/liaohuqiu/android-Ultra-Pull-To-Refresh,https://github.com/liaohuqiu/android-Ultra-Pull-To-Refresh.git
ksoichiro/Android-ObservableScrollView,9625,https://github.com/ksoichiro/Android-ObservableScrollView,https://github.com/ksoichiro/Android-ObservableScrollView.git
grpc/grpc-java,9592,https://github.com/grpc/grpc-java,https://github.com/grpc/grpc-java.git
pockethub/PocketHub,9449,https://github.com/pockethub/PocketHub,https://github.com/pockethub/PocketHub.git
zaproxy/zaproxy,9419,https://github.com/zaproxy/zaproxy,https://github.com/zaproxy/zaproxy.git
clojure/clojure,9429,https://github.com/clojure/clojure,https://github.com/clojure/clojure.git
jhy/jsoup,9384,https://github.com/jhy/jsoup,https://github.com/jhy/jsoup.git
paascloud/paascloud-master,9301,https://github.com/paascloud/paascloud-master.git,
perwendel/spark,9287,https://github.com/perwendel/spark,https://github.com/perwendel/spark.git
MyCATApache/Mycat-Server,9259,https://github.com/MyCATApache/Mycat-Server,https://github.com/MyCATApache/Mycat-Server.git
bilibili/DanmakuFlameMaster,9257,https://github.com/bilibili/DanmakuFlameMaster.git,
nathanmarz/storm,8929,https://github.com/nathanmarz/storm,https://github.com/nathanmarz/storm.git
newbee-ltd/newbee-mall,8731,https://github.com/newbee-ltd/newbee-mall.git,
didi/VirtualAPK,8657,https://github.com/didi/VirtualAPK,https://github.com/didi/VirtualAPK.git
Justson/AgentWeb,8473,https://github.com/Justson/AgentWeb,https://github.com/Justson/AgentWeb.git
stanfordnlp/CoreNLP,8418,https://github.com/stanfordnlp/CoreNLP,https://github.com/stanfordnlp/CoreNLP.git
cats-oss/android-gpuimage,8346,https://github.com/cats-oss/android-gpuimage,https://github.com/cats-oss/android-gpuimage.git
questdb/questdb,8323,https://github.com/questdb/questdb,https://github.com/questdb/questdb.git
crossoverJie/cim,8301,https://github.com/crossoverJie/cim,https://github.com/crossoverJie/cim.git
junit-team/junit4,8273,https://github.com/junit-team/junit4,https://github.com/junit-team/junit4.git
jwtk/jjwt,8233,https://github.com/jwtk/jjwt,https://github.com/jwtk/jjwt.git
dropwizard/dropwizard,8155,https://github.com/dropwizard/dropwizard,https://github.com/dropwizard/dropwizard.git
alibaba/atlas,8056,https://github.com/alibaba/atlas,https://github.com/alibaba/atlas.git
