full name,star number,,git url
openharmony/drivers_adapter_khdf_linux,64,,https://gitee.com/openharmony/drivers_adapter_khdf_linux.git
openharmony/third_party_freetype,64,,https://gitee.com/openharmony/third_party_freetype.git
openharmony/third_party_unity,64,,https://gitee.com/openharmony/third_party_unity.git
openharmony/bundlemanager_bundle_framework,63,,https://gitee.com/openharmony/bundlemanager_bundle_framework.git
openharmony/device_hisilicon_build,63,,https://gitee.com/openharmony/device_hisilicon_build.git
openharmony/iot_link,63,,https://gitee.com/openharmony/iot_link.git
openharmony/third_party_googletest,63,,https://gitee.com/openharmony/third_party_googletest.git
openharmony/third_party_libjpeg,63,,https://gitee.com/openharmony/third_party_libjpeg.git
openharmony/iothardware_peripheral,62,,https://gitee.com/openharmony/iothardware_peripheral.git
openharmony/third_party_Linux_Kernel,62,,https://gitee.com/openharmony/third_party_Linux_Kernel.git
openharmony/third_party_zlib,61,,https://gitee.com/openharmony/third_party_zlib.git
openharmony/communication_wifi_aware,60,,https://gitee.com/openharmony/communication_wifi_aware.git
openharmony/developtools_packing_tool,60,,https://gitee.com/openharmony/developtools_packing_tool.git
openharmony/signcenter_tool,60,,https://gitee.com/openharmony/signcenter_tool.git
openharmony/third_party_bounds_checking_function,60,,https://gitee.com/openharmony/third_party_bounds_checking_function.git
openharmony/ohos_bundles,59,,https://gitee.com/openharmony/ohos_bundles.git
openharmony/third_party_cmsis,59,,https://gitee.com/openharmony/third_party_cmsis.git
openharmony/global_i18n_lite,58,,https://gitee.com/openharmony/global_i18n_lite.git
openharmony/third_party_FatFs,58,,https://gitee.com/openharmony/third_party_FatFs.git
openharmony/third_party_FreeBSD,58,,https://gitee.com/openharmony/third_party_FreeBSD.git
openharmony/third_party_qrcodegen,58,,https://gitee.com/openharmony/third_party_qrcodegen.git
openharmony/systemabilitymgr_safwk_lite,56,,https://gitee.com/openharmony/systemabilitymgr_safwk_lite.git
openharmony/third_party_u-boot,56,,https://gitee.com/openharmony/third_party_u-boot.git
openharmony/global_cust_lite,54,,https://gitee.com/openharmony/global_cust_lite.git
openharmony/powermgr_powermgr_lite,54,,https://gitee.com/openharmony/powermgr_powermgr_lite.git
openharmony/update_ota_lite,54,,https://gitee.com/openharmony/update_ota_lite.git
openharmony/third_party_icu,53,,https://gitee.com/openharmony/third_party_icu.git
openharmony/sensors_sensor_lite,52,,https://gitee.com/openharmony/sensors_sensor_lite.git
openharmony/third_party_giflib,52,,https://gitee.com/openharmony/third_party_giflib.git
openharmony/third_party_optimized_routines,52,,https://gitee.com/openharmony/third_party_optimized_routines.git
openharmony/third_party_toybox,52,,https://gitee.com/openharmony/third_party_toybox.git
openharmony/third_party_mksh,51,,https://gitee.com/openharmony/third_party_mksh.git
openharmony/sensors_miscdevice_lite,50,,https://gitee.com/openharmony/sensors_miscdevice_lite.git
openharmony/third_party_libuuid,49,,https://gitee.com/openharmony/third_party_libuuid.git
openharmony/third_party_popt,49,,https://gitee.com/openharmony/third_party_popt.git
openharmony/device_hisilicon_third_party_ffmpeg,48,,https://gitee.com/openharmony/device_hisilicon_third_party_ffmpeg.git
openharmony/distribution,48,,https://gitee.com/openharmony/distribution.git
openharmony/drivers_peripheral,48,,https://gitee.com/openharmony/drivers_peripheral.git
openharmony/applications_camera_screensaver_app,46,,https://gitee.com/openharmony/applications_camera_screensaver_app.git
openharmony/third_party_cryptsetup,44,,https://gitee.com/openharmony/third_party_cryptsetup.git
openharmony/applications_camera_sample_communication,43,,https://gitee.com/openharmony/applications_camera_sample_communication.git
openharmony/communication_wifi_lite,42,,https://gitee.com/openharmony/communication_wifi_lite.git
openharmony/developtools_hdc,41,,https://gitee.com/openharmony/developtools_hdc.git
openharmony/interface_sdk-js,41,,https://gitee.com/openharmony/interface_sdk-js.git
openharmony/graphic_graphic_2d,40,,https://gitee.com/openharmony/graphic_graphic_2d.git
openharmony/third_party_JSON-C,40,,https://gitee.com/openharmony/third_party_JSON-C.git
openharmony/third_party_LVM2,40,,https://gitee.com/openharmony/third_party_LVM2.git
openharmony/drivers_adapter,38,,https://gitee.com/openharmony/drivers_adapter.git
openharmony/applications_launcher,37,,https://gitee.com/openharmony/applications_launcher.git
openharmony/distributeddatamgr_datamgr_service,37,,https://gitee.com/openharmony/distributeddatamgr_datamgr_service.git
openharmony/build,35,,https://gitee.com/openharmony/build.git
openharmony/applications_systemui,33,,https://gitee.com/openharmony/applications_systemui.git
openharmony/arkui_napi,33,,https://gitee.com/openharmony/arkui_napi.git
openharmony/communication_bluetooth,32,,https://gitee.com/openharmony/communication_bluetooth.git
openharmony/kernel_linux,32,,https://gitee.com/openharmony/kernel_linux.git
openharmony/communication_ipc,31,,https://gitee.com/openharmony/communication_ipc.git
openharmony/ability_ability_runtime,30,,https://gitee.com/openharmony/ability_ability_runtime.git
openharmony/communication_wifi,30,,https://gitee.com/openharmony/communication_wifi.git
openharmony/device_soc_hisilicon,30,,https://gitee.com/openharmony/device_soc_hisilicon.git
openharmony/multimedia_camera_framework,30,,https://gitee.com/openharmony/multimedia_camera_framework.git
openharmony/release-management,29,,https://gitee.com/openharmony/release-management.git
openharmony/commonlibrary_c_utils,28,,https://gitee.com/openharmony/commonlibrary_c_utils.git
openharmony/arkcompiler_ets_frontend,25,,https://gitee.com/openharmony/arkcompiler_ets_frontend.git
openharmony/multimedia_player_framework,25,,https://gitee.com/openharmony/multimedia_player_framework.git
openharmony/multimedia_histreamer,24,,https://gitee.com/openharmony/multimedia_histreamer.git
openharmony/web_webview,24,,https://gitee.com/openharmony/web_webview.git
openharmony/kernel_linux_5.10,23,,https://gitee.com/openharmony/kernel_linux_5.10.git
openharmony/telephony_sms_mms,22,,https://gitee.com/openharmony/telephony_sms_mms.git
openharmony/third_party_jsframework,22,,https://gitee.com/openharmony/third_party_jsframework.git
openharmony/applications_settings,21,,https://gitee.com/openharmony/applications_settings.git
openharmony/distributeddatamgr_appdatamgr,21,,https://gitee.com/openharmony/distributeddatamgr_appdatamgr.git
openharmony/window_window_manager,21,,https://gitee.com/openharmony/window_window_manager.git
openharmony/applications_hap,20,,https://gitee.com/openharmony/applications_hap.git
openharmony/multimodalinput_input,20,,https://gitee.com/openharmony/multimodalinput_input.git
openharmony/arkcompiler_runtime_core,19,,https://gitee.com/openharmony/arkcompiler_runtime_core.git
openharmony/device_soc_bestechnic,19,,https://gitee.com/openharmony/device_soc_bestechnic.git
openharmony/telephony_cellular_call,19,,https://gitee.com/openharmony/telephony_cellular_call.git
openharmony/applications_photos,18,,https://gitee.com/openharmony/applications_photos.git
openharmony/arkXtest,18,,https://gitee.com/openharmony/arkXtest.git
openharmony/hiviewdfx_hilog,18,,https://gitee.com/openharmony/hiviewdfx_hilog.git
openharmony/multimedia_audio_framework,17,,https://gitee.com/openharmony/multimedia_audio_framework.git
openharmony/telephony_core_service,17,,https://gitee.com/openharmony/telephony_core_service.git
openharmony/third_party_flutter,17,,https://gitee.com/openharmony/third_party_flutter.git
openharmony/applications_camera,16,,https://gitee.com/openharmony/applications_camera.git
openharmony/distributedhardware_device_manager,16,,https://gitee.com/openharmony/distributedhardware_device_manager.git
openharmony/notification_common_event_service,16,,https://gitee.com/openharmony/notification_common_event_service.git
openharmony/systemabilitymgr_samgr,16,,https://gitee.com/openharmony/systemabilitymgr_samgr.git
openharmony/telephony_call_manager,16,,https://gitee.com/openharmony/telephony_call_manager.git
openharmony/device_board_talkweb,15,,https://gitee.com/openharmony/device_board_talkweb.git
openharmony/hiviewdfx_faultloggerd,15,,https://gitee.com/openharmony/hiviewdfx_faultloggerd.git
openharmony/ability_dmsfwk,14,,https://gitee.com/openharmony/ability_dmsfwk.git
openharmony/account_os_account,14,,https://gitee.com/openharmony/account_os_account.git
openharmony/kernel_linux_patches,14,,https://gitee.com/openharmony/kernel_linux_patches.git
openharmony/third_party_quickjs,14,,https://gitee.com/openharmony/third_party_quickjs.git
openharmony/utils_system_resources,14,,https://gitee.com/openharmony/utils_system_resources.git
openharmony/device_board_bearpi,13,,https://gitee.com/openharmony/device_board_bearpi.git
openharmony/device_hihope,13,,https://gitee.com/openharmony/device_hihope.git
openharmony/distributeddatamgr_file,13,,https://gitee.com/openharmony/distributeddatamgr_file.git
openharmony/hiviewdfx_hiview,13,,https://gitee.com/openharmony/hiviewdfx_hiview.git
openharmony/kernel_linux_config,13,,https://gitee.com/openharmony/kernel_linux_config.git
openharmony/update_updater,13,,https://gitee.com/openharmony/update_updater.git
openharmony/napi_generator,12,,https://gitee.com/openharmony/napi_generator.git
openharmony/time_time_service,12,,https://gitee.com/openharmony/time_time_service.git
