project name,stars,github url,clone url
ranger/ranger,11340,https://github.com/ranger/ranger,https://github.com/ranger/ranger.git
microsoft/nni,11306,https://github.com/microsoft/nni,https://github.com/microsoft/nni.git
frappe/erpnext,10973,https://github.com/frappe/erpnext,https://github.com/frappe/erpnext.git
allenai/allennlp,10926,https://github.com/allenai/allennlp,https://github.com/allenai/allennlp.git
nltk/nltk,10633,https://github.com/nltk/nltk,https://github.com/nltk/nltk.git
dbcli/mycli,10282,https://github.com/dbcli/mycli,https://github.com/dbcli/mycli.git
microsoft/Bringing-Old-Photos-Back-to-Life,10283,https://github.com/microsoft/Bringing-Old-Photos-Back-to-Life,https://github.com/microsoft/Bringing-Old-Photos-Back-to-Life.git
Python-World/python-mini-projects,10155,https://github.com/Python-World/python-mini-projects,https://github.com/Python-World/python-mini-projects.git
dask/dask,9768,https://github.com/dask/dask,https://github.com/dask/dask.git
python-pillow/Pillow,9668,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow.git
tflearn/tflearn,9584,https://github.com/tflearn/tflearn,https://github.com/tflearn/tflearn.git
samuelcolvin/pydantic,9643,https://github.com/samuelcolvin/pydantic,https://github.com/samuelcolvin/pydantic.git
iterative/dvc,9563,https://github.com/iterative/dvc,https://github.com/iterative/dvc.git
Theano/Theano,9559,https://github.com/Theano/Theano,https://github.com/Theano/Theano.git
dmlc/dgl,9317,https://github.com/dmlc/dgl,https://github.com/dmlc/dgl.git
cookiecutter/cookiecutter-django,9250,https://github.com/cookiecutter/cookiecutter-django,https://github.com/cookiecutter/cookiecutter-django.git
Zulko/moviepy,9130,https://github.com/Zulko/moviepy,https://github.com/Zulko/moviepy.git
coleifer/peewee,9072,https://github.com/coleifer/peewee,https://github.com/coleifer/peewee.git
pyinstaller/pyinstaller,9053,https://github.com/pyinstaller/pyinstaller,https://github.com/pyinstaller/pyinstaller.git
sympy/sympy,9046,https://github.com/sympy/sympy,https://github.com/sympy/sympy.git
Gallopsled/pwntools,8906,https://github.com/Gallopsled/pwntools,https://github.com/Gallopsled/pwntools.git
thumbor/thumbor,8905,https://github.com/thumbor/thumbor,https://github.com/thumbor/thumbor.git
bbfamily/abu,8924,https://github.com/bbfamily/abu,https://github.com/bbfamily/abu.git
facebookresearch/maskrcnn-benchmark,8811,https://github.com/facebookresearch/maskrcnn-benchmark,https://github.com/facebookresearch/maskrcnn-benchmark.git
pytest-dev/pytest,8627,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest.git
EpistasisLab/tpot,8518,https://github.com/EpistasisLab/tpot,https://github.com/EpistasisLab/tpot.git
pallets/jinja,8445,https://github.com/pallets/jinja,https://github.com/pallets/jinja.git
scrapinghub/portia,8453,https://github.com/scrapinghub/portia,https://github.com/scrapinghub/portia.git
mementum/backtrader,8516,https://github.com/mementum/backtrader,https://github.com/mementum/backtrader.git
benoitc/gunicorn,8250,https://github.com/benoitc/gunicorn,https://github.com/benoitc/gunicorn.git
NVIDIA/DeepLearningExamples,8198,https://github.com/NVIDIA/DeepLearningExamples,https://github.com/NVIDIA/DeepLearningExamples.git
clips/pattern,8196,https://github.com/clips/pattern,https://github.com/clips/pattern.git
deepmind/alphafold,8128,https://github.com/deepmind/alphafold,https://github.com/deepmind/alphafold.git
WZMIAOMIAO/deep-learning-for-image-processing,8022,https://github.com/WZMIAOMIAO/deep-learning-for-image-processing,https://github.com/WZMIAOMIAO/deep-learning-for-image-processing.git
NVIDIA/vid2vid,7952,https://github.com/NVIDIA/vid2vid,https://github.com/NVIDIA/vid2vid.git
microsoft/pyright,7833,https://github.com/microsoft/pyright,https://github.com/microsoft/pyright.git
maurosoria/dirsearch,7777,https://github.com/maurosoria/dirsearch,https://github.com/maurosoria/dirsearch.git
PaddlePaddle/PaddleHub,7802,https://github.com/PaddlePaddle/PaddleHub,https://github.com/PaddlePaddle/PaddleHub.git
pyodide/pyodide,7693,https://github.com/pyodide/pyodide,https://github.com/pyodide/pyodide.git
smicallef/spiderfoot,7710,https://github.com/smicallef/spiderfoot,https://github.com/smicallef/spiderfoot.git
prompt-toolkit/python-prompt-toolkit,7640,https://github.com/prompt-toolkit/python-prompt-toolkit,https://github.com/prompt-toolkit/python-prompt-toolkit.git
