project_name,LoC,Depends-time,Depends-memory,ENRE-time,ENRE-memory,SourceTrail-time,SourceTrail-memory,Understand-time,Understand-memory
Kap,14321,0,0,2.018843889,93.94921875,0,0,1.563210011,29.13671875
motion,34213,0,0,5.177495718,136.6601563,0,0,2.944291115,51.33203125
flatpickr,10684,0,0,1.210551262,88.0625,0,0,1.344993114,27.74609375
react-sketchapp,9470,0,0,1.961048603,84.35546875,0,0,1.478859425,29.6484375
CopyTranslator,5053,0,0,0.804162502,62.96484375,0,0,1.245129347,27.9375
sass,1827,0,0,0.676380873,62.56640625,0,0,1.106047153,29.07421875
ignite,5096,0,0,1.336772203,79.60546875,0,0,1.361805916,27.4921875
feathers,24176,0,0,3.165845633,127.6953125,0,0,1.974853277,40.98046875
face-api.js,17065,0,0,4.499596357,421.1640625,0,0,3.390931606,91.84375
nx,182251,0,0,34.12977672,336.0546875,0,0,7.568785191,128.8671875
Bilibili-Evolved,27239,0,0,8.519515991,605.96875,0,0,1.573365927,83.15234375
graphiql,34571,0,0,4.454833031,134.1796875,0,0,2.423934698,83.8046875
bulletproof-react,4915,0,0,1.221509218,78.50390625,0,0,1.413319349,81.77734375
xterm.js,42551,0,0,3.907480478,147.3359375,0,0,2.693685532,84.03125
truffle,99965,0,0,11.91455722,180.0664063,0,0,4.345026493,88.3359375
medusa,145871,0,0,3.073814631,94.13671875,0,0,6.257641792,148.8164063
