project name,stars,github url,clone url
charliegerard/Epoc.js,779,https://github.com/charliegerard/Epoc.js,https://github.com/charliegerard/Epoc.js.git
arkq/bluez-alsa,771,https://github.com/arkq/bluez-alsa,https://github.com/arkq/bluez-alsa.git
pfalcon/pycopy,761,https://github.com/pfalcon/pycopy,https://github.com/pfalcon/pycopy.git
QuantumLeaps/qpc,748,https://github.com/QuantumLeaps/qpc,https://github.com/QuantumLeaps/qpc.git
jnz/q3vm,744,https://github.com/jnz/q3vm,https://github.com/jnz/q3vm.git
thi-ng/tinyalloc,731,https://github.com/thi-ng/tinyalloc,https://github.com/thi-ng/tinyalloc.git
majianjia/nnom,723,https://github.com/majianjia/nnom,https://github.com/majianjia/nnom.git
weston-embedded/uC-OS3,712,https://github.com/weston-embedded/uC-OS3,https://github.com/weston-embedded/uC-OS3.git
emqx/neuron,693,https://github.com/emqx/neuron,https://github.com/emqx/neuron.git
symisc/ascii_art,669,https://github.com/symisc/ascii_art,https://github.com/symisc/ascii_art.git
f9micro/f9-kernel,663,https://github.com/f9micro/f9-kernel,https://github.com/f9micro/f9-kernel.git
introlab/odas,655,https://github.com/introlab/odas,https://github.com/introlab/odas.git
rauc/rauc,649,https://github.com/rauc/rauc,https://github.com/rauc/rauc.git
sepfy/libpeer,646,https://github.com/sepfy/libpeer,https://github.com/sepfy/libpeer.git
s00500/ESPUI,644,https://github.com/s00500/ESPUI,https://github.com/s00500/ESPUI.git
meekrosoft/fff,630,https://github.com/meekrosoft/fff,https://github.com/meekrosoft/fff.git
