name,stars,html url,clone url,time (s),memory (GB),KLoC
darthcloud/BlueRetro,958,https://github.com/darthcloud/BlueRetro,https://github.com/darthcloud/BlueRetro.git,2.385,0.382,28.414
ImpulseAdventure/GUIslice,955,https://github.com/ImpulseAdventure/GUIslice,https://github.com/ImpulseAdventure/GUIslice.git,2.655,0.457,26.025
rossumur/espflix,946,https://github.com/rossumur/espflix,https://github.com/rossumur/espflix.git,2.108,1.060,54.349
aitos-io/BoAT-X-Framework,925,https://github.com/aitos-io/BoAT-X-Framework,https://github.com/aitos-io/BoAT-X-Framework.git,7.309,1.216,176.831
256dpi/arduino-mqtt,920,https://github.com/256dpi/arduino-mqtt,https://github.com/256dpi/arduino-mqtt.git,0.598,0.142,1.792
makermoekoe/Picoclick-C3,905,https://github.com/makermoekoe/Picoclick-C3,https://github.com/makermoekoe/Picoclick-C3.git,0.706,0.139,2.103
openshwprojects/OpenBK7231T_App,852,https://github.com/openshwprojects/OpenBK7231T_App,https://github.com/openshwprojects/OpenBK7231T_App.git,4.802,0.644,63.698
hifiberry/hifiberry-os,824,https://github.com/hifiberry/hifiberry-os,https://github.com/hifiberry/hifiberry-os.git,0.407,0.000,6.668
ghaerr/elks,792,https://github.com/ghaerr/elks,https://github.com/ghaerr/elks.git,13.472,2.487,271.178
akospasztor/stm32-bootloader,784,https://github.com/akospasztor/stm32-bootloader,https://github.com/akospasztor/stm32-bootloader.git,3.760,1.712,106.899
charliegerard/Epoc.js,779,https://github.com/charliegerard/Epoc.js,https://github.com/charliegerard/Epoc.js.git,0.531,0.133,1.326
arkq/bluez-alsa,771,https://github.com/arkq/bluez-alsa,https://github.com/arkq/bluez-alsa.git,3.026,0.561,27.228
pfalcon/pycopy,761,https://github.com/pfalcon/pycopy,https://github.com/pfalcon/pycopy.git,9.628,2.162,250.960
QuantumLeaps/qpc,748,https://github.com/QuantumLeaps/qpc,https://github.com/QuantumLeaps/qpc.git,5.041,0.965,67.801
jnz/q3vm,744,https://github.com/jnz/q3vm,https://github.com/jnz/q3vm.git,2.562,0.497,23.283
thi-ng/tinyalloc,731,https://github.com/thi-ng/tinyalloc,https://github.com/thi-ng/tinyalloc.git,0.365,0.000,0.255
majianjia/nnom,723,https://github.com/majianjia/nnom,https://github.com/majianjia/nnom.git,3.970,1.499,15.395
weston-embedded/uC-OS3,712,https://github.com/weston-embedded/uC-OS3,https://github.com/weston-embedded/uC-OS3.git,1.859,0.373,21.726
emqx/neuron,693,https://github.com/emqx/neuron,https://github.com/emqx/neuron.git,2.622,0.438,37.217
symisc/ascii_art,669,https://github.com/symisc/ascii_art,https://github.com/symisc/ascii_art.git,0.430,0.001,5.986
f9micro/f9-kernel,663,https://github.com/f9micro/f9-kernel,https://github.com/f9micro/f9-kernel.git,3.543,0.946,30.508
introlab/odas,655,https://github.com/introlab/odas,https://github.com/introlab/odas.git,2.595,0.467,19.417
rauc/rauc,649,https://github.com/rauc/rauc,https://github.com/rauc/rauc.git,2.546,0.488,29.906
sepfy/libpeer,646,https://github.com/sepfy/libpeer,https://github.com/sepfy/libpeer.git,0.951,0.140,4.428
s00500/ESPUI,644,https://github.com/s00500/ESPUI,https://github.com/s00500/ESPUI.git,0.718,0.167,2.897
meekrosoft/fff,630,https://github.com/meekrosoft/fff,https://github.com/meekrosoft/fff.git,0.757,0.160,7.454
